RV12, BBS12037.msf, tcoffee, 0.878, 0.650, clustalw, 0.785, 0.530, muscle, 0.808, 0.530
RV12, BBS12038.msf, tcoffee, 0.888, 0.630, clustalw, 0.771, 0.440, muscle, 0.892, 0.660
RV12, BBS12039.msf, tcoffee, 0.936, 0.780, clustalw, 0.881, 0.560, muscle, 0.916, 0.690
RV12, BBS12040.msf, tcoffee, 0.961, 0.940, clustalw, 0.963, 0.940, muscle, 0.944, 0.890
RV12, BBS12041.msf, tcoffee, 0.805, 0.520, clustalw, 0.648, 0.410, muscle, 0.690, 0.430
RV12, BBS12042.msf, tcoffee, 0.733, 0.590, clustalw, 0.581, 0.430, muscle, 0.690, 0.570
RV12, BBS12043.msf, tcoffee, 0.948, 0.610, clustalw, 0.791, 0.480, muscle, 0.923, 0.530
RV12, BBS12044.msf, tcoffee, 0.888, 0.710, clustalw, 0.841, 0.590, muscle, 0.841, 0.610
RV20, BB20001.msf, tcoffee, 0.542, 0.000, clustalw, 0.444, 0.000, muscle, 0.498, 0.000
RV20, BB20002.msf, tcoffee, 0.550, 0.000, clustalw, 0.164, 0.000, muscle, 0.217, 0.000
RV20, BB20003.msf, tcoffee, 0.950, 0.310, clustalw, 0.941, 0.260, muscle, 0.953, 0.280
RV20, BB20004.msf, tcoffee, 0.898, 0.600, clustalw, 0.869, 0.010, muscle, 0.894, 0.600
RV20, BB20005.msf, tcoffee, 0.765, 0.060, clustalw, 0.753, 0.000, muscle, 0.775, 0.060
RV20, BB20006.msf, tcoffee, 0.958, 0.560, clustalw, 0.901, 0.510, muscle, 0.961, 0.450
RV20, BB20007.msf, tcoffee, 0.785, 0.340, clustalw, 0.750, 0.290, muscle, 0.767, 0.340
RV20, BB20008.msf, tcoffee, 0.761, 0.000, clustalw, 0.381, 0.000, muscle, 0.560, 0.000
RV20, BB20009.msf, tcoffee, 0.930, 0.600, clustalw, 0.903, 0.570, muscle, 0.919, 0.650
RV20, BB20010.msf, tcoffee, 0.835, 0.280, clustalw, 0.775, 0.270, muscle, 0.803, 0.280
RV20, BB20011.msf, tcoffee, 0.884, 0.520, clustalw, 0.698, 0.000, muscle, 0.741, 0.030
RV20, BB20012.msf, tcoffee, 0.699, 0.200, clustalw, 0.609, 0.000, muscle, 0.659, 0.070
RV20, BB20013.msf, tcoffee, 0.656, 0.270, clustalw, 0.599, 0.200, muscle, 0.632, 0.220
RV20, BB20014.msf, tcoffee, 0.850, 0.190, clustalw, 0.805, 0.130, muscle, 0.820, 0.160
RV20, BB20015.msf, tcoffee, 0.644, 0.040, clustalw, 0.545, 0.000, muscle, 0.608, 0.000
